q0168  16:14.2-16:16.9  - Не думаю. - Отлично, потому что он гад.
q0169  16:17.0-16:19.9  Я квалифицированнее половины из тех, с кем ты работаешь.
q0170  16:20.0-16:22.7  Я знал, что Годзилла будет делать, когда никто из Монарх...
q0171  16:22.8-16:25.9  Поэтому я здесь, Берни.
q0172  16:26.0-16:28.2  Я здесь.
q0173  16:30.6-16:31.8  Ты можешь мне помочь или нет?
q0174  16:32.9-16:35.8  Надо подумать. Ты новая начальница Смипза?
q0175  16:36.8-16:38.9  - Что? - Станции Монарх, изучающей Полую Землю.
q0176  16:39.0-16:40.6  СМИПЗ. Смипз.
q0177  16:41.0-16:44.2  Никто так не называет. Я глава отдела исследования Конга,
q0178  16:44.3-16:48.4  но официально директор Хэмптон отвечает за работу станции.
q0179  16:49.0-16:52.0  У директора Хэмптон нет ребенка, способного говорить с Конгом.
q0180  16:56.2-16:57.2  Хочешь на Полую Землю.
q0181  16:58.2-17:00.3  Рад, не пришлось самому говорить. Думал - не спросишь.
q0182  17:00.4-17:02.1  - Мне нужны доказательства. - Не спрашиваю.
q0183  17:02.2-17:03.6  Блогу нужны надежные сведения.
q0184  17:03.7-17:06.2  Я знал, что будешь той, кто мне поможет.
q0185  17:06.2-17:08.3  Ладно. Если это произойдет, что маловероятно,
q0186  17:08.4-17:09.4  за Монарх -
q0187  17:09.5-17:11.0  последнее слово... не знаю, как называете...
q0188  17:11.1-17:12.0  МОНАРХ ЭКСТРЕННАЯ СИТУАЦИЯ!
q0189  17:12.1-17:13.6  Последнее слово? Нет-нет-нет.
q0190  17:13.7-17:14.5  ПРЕДУПРЕЖДЕНИЕ О ТИТАНАХ!
q0191  17:14.6-17:16.1  Я не был бы честным журналистом.
q0192  17:16.2-17:17.2  Чёрт!
q0193  17:17.3-17:20.2  Хороший документалист говорит слово сам. Сделаю тебя продюсером.
q0194  17:20.3-17:21.7  Ладно! Последнее слово.
q0195  17:21.8-17:23.6  Что-то происходит с моей дочерью,
q0196  17:23.6-17:25.1  и я не знаю, как это исправить.
q0197  17:26.6-17:27.6  Выясни, что происходит,
q0198  17:27.7-17:29.4  и будет всё, что хочешь, ладно?
q0199  17:29.4-17:30.6  Обещаю.
q0200  17:30.7-17:33.3  Это много, ты очень любезна, но я...
q0201  17:33.4-17:36.1  - И нам надо идти. Сейчас. - Что?
q0202  17:36.2-17:38.0  Годзилла снова перемещается.
q0203  18:34.1-18:35.2  Слушайте.
q0204  18:35.3-18:37.9  Если Годзилла перемещается, он чует надвигающуюся угрозу.
q0205  18:38.0-18:39.6  - Не знаем, какую. - Вас не волнует?
q0206  18:39.7-18:41.2  Конечно, волнует, сенатор.
q0207  18:41.3-18:42.7  Поэтому мы следим за ситуацией.
q0208  18:42.8-18:44.1  Если Годзилла идет...
q0209  18:44.2-18:45.1  Что? Просто...
q0210  18:45.2-18:48.1  - Я вам говорю, сенатор... - У нас проблема!
q0211  18:48.2-18:49.9  ...что Конг не покидает Полую Землю.
q0212  18:49.9-18:53.5  Поэтому у Годзиллы нет повода мстить.
q0213  19:05.5-19:07.3  - Что он делает здесь? - Без понятия.
q0214  19:07.4-19:09.5  - Годзилла знает? - Непонятно.
q0215  19:09.6-19:10.7  Это вопрос времени.
q0216  19:10.7-19:14.3  Что, если Годзилла направится сюда?
q0217  19:14.4-19:16.0  Тогда побежим со всех ног.
q0218  19:16.1-19:18.6  Вставай, идем! Быстрее. Давай!
q0219  19:33.1-19:34.6  Ему больно.
q0220  19:44.9-19:47.0  Успокоительные введены.
q0221  19:47.1-19:50.6  УРОВЕНЬ СЕДАЦИИ 86%
q0222  19:54.7-19:57.4  Хорошая новость - это лишь воспалившийся зуб.
q0223  19:57.5-20:00.5  К счастью, вы обратились к лучшему врачу.
q0224  20:15.4-20:18.6  Седация Конга - 100%. Показатели стабильные.
q0225  20:18.7-20:21.9  Траппер, можешь заменить поврежденный зуб протезом.
q0226  20:29.2-20:30.5  Траппер приземлился.
q0227  20:42.8-20:43.9  Ух, парень!
q0228  20:44.8-20:45.7  Что ты ел на завтрак?
q0229  20:49.1-20:50.1  Порядок?
q0230  20:52.6-20:54.9  Да, вырвем эту пакость.
q0231  20:59.6-21:00.6  Ладно, тянем!
q0232  21:22.7-21:24.0  Вот она.
q0233  21:25.0-21:28.2  Спасибо, что быстро приехал. Хорошая работа.
q0234  21:28.3-21:30.3  Всегда рад.
q0235  21:30.4-21:33.4  Нечасто случается залезать в рот 90-метровой обезьяны.
q0236  21:33.5-21:35.6  Уверен, что он будет достаточно прочным?
q0237  21:35.7-21:36.7  Зуб? Да.
q0238  21:36.8-21:40.0  Полимерный композит, используемый для жаростойких щитков авто.
q0239  21:42.0-21:43.7  Он мог бы откусить им Эйфелеву башню.
q0240  21:44.3-21:47.4  Хорошие зубы не помогут, если Годзилла почует, что он здесь.
q0241  21:47.5-21:48.7  Что ж...
q0242  21:49.4-21:52.2  Нельзя же оставить титана с зубной болью, так?
q0243  21:52.5-21:53.9  - Нет. - Не волнуйся.
q0244  21:54.0-21:55.0  Пару часов его будет шатать,
q0245  21:55.1-21:56.8  но сможет вернуться вниз.
q0246  21:56.9-21:58.6  Когда я узнала, что будешь ветеринаром,
q0247  21:58.7-22:02.7  подумала - нет. Для Траппера это слишком скучно.
q0248  22:02.8-22:04.6  Но ты стал самым странным ветеринаром.
q0249  22:04.7-22:06.5  Да, я и доктор Дулиттл.
q0250  22:06.9-22:08.4  Только мои животные крупнее.
q0251  22:09.5-22:12.4  Думала, наконец-то кто-то заставил тебя повзрослеть.
q0252  22:12.5-22:13.3  Нет.
q0253  22:13.4-22:16.7  Кто-то уже пытался в колледже, но... не удалось.
q0254  22:16.8-22:18.7  - Вот как? - Да. Что она мне сказала?
q0255  22:18.8-22:21.0  Траппер, ты несерьезный человек.
q0256  22:21.1-22:22.4  Похоже, она умная.
q0257  22:22.5-22:25.0  Да, как бы. Получила докторскую степень.
q0258  22:25.6-22:26.6  На самом деле - две.
q0259  22:29.3-22:30.6  Как дела у девочки?
q0260  22:31.1-22:33.0  Ну, ей нелегко.
q0261  22:34.0-22:35.7  Пытается найти свое место в мире.
q0262  22:36.5-22:38.0  Да, я знаю, каково это.
q0263  22:39.1-22:40.9  Не волнуйся, всё будет хорошо.
q0264  22:41.3-22:42.7  У нее хорошая мама.
q0265  22:45.5-22:46.3  Отдыхай.
